event_name,country,event_title,latitude,longitude
airliebeach,Australia,Airlie Beach parkrun,-20.26716,148.71113
albertmelbourne,Australia,"Albert parkrun, Melbourne",-37.84935,144.97646
alburywodonga,Australia,Albury Wodonga parkrun,-36.09049,146.90678
aldingabeach,Australia,Aldinga Beach parkrun,-35.27773,138.44294
altonabeach,Australia,Altona Beach parkrun,-37.88392,144.79816
aplinsweir,Australia,Aplins Weir parkrun,-19.30411,146.79548
applecross,Australia,Applecross parkrun,-32.00928,115.82963
ararat,Australia,Ararat parkrun,-37.2806,142.92807
armidale,Australia,Armidale parkrun,-30.49194,151.63941
ashgrove,Australia,Ashgrove parkrun,-27.44271,152.9731
atherton,Australia,Atherton parkrun,-17.26477,145.47411
augustineheights,Australia,Augustine Heights parkrun,-27.659,152.8825
aurora,Australia,Aurora parkrun,-37.62207,145.004
aveley,Australia,Aveley parkrun,-31.78886,115.9885
bairnsdale,Australia,Bairnsdale parkrun,-37.81764,147.62068
ballarat,Australia,Ballarat parkrun,-37.55779,143.82228
ballinacoast,Australia,Ballina Coast parkrun,-28.86905,153.58174
balyangsanctuary,Australia,Balyang Sanctuary parkrun,-38.16584,144.33176
banksiahill,Australia,Banksia Hill parkrun,-32.11111,115.91731
bannockburnbush,Australia,Bannockburn Bush parkrun,-38.05348,144.13581
bargara,Australia,Bargara parkrun,-24.80604,152.45647
baringa,Australia,Baringa parkrun,-26.80713,153.08061
batemansbay,Australia,Batemans Bay parkrun,-35.71208,150.18592
bathurst,Australia,Bathurst parkrun,-33.41665,149.59276
bayviewroad,Australia,Bayview Road parkrun,-20.72979,116.80498
beaufortlake,Australia,Beaufort Lake parkrun,-37.44518,143.38115
bega,Australia,Bega parkrun,-36.67475,149.85407
bellerive,Australia,Bellerive parkrun,-42.88163,147.38663
bellevuepark-juniors,Australia,Bellevue Park junior parkrun,-27.99463,153.39687
bellsparade,Australia,Bells Parade parkrun,-41.22444,146.39085
benallabotanicalgardens,Australia,Benalla Botanical Gardens parkrun,-36.55695,145.98705
bendigobotanicgardens,Australia,Bendigo Botanic Gardens parkrun,-36.71771,144.31101
berrinba,Australia,Berrinba parkrun,-27.66259,153.0785
berwicksprings,Australia,Berwick Springs parkrun,-38.06022,145.33092
berwickwaters,Australia,Berwick Waters parkrun,-38.08268,145.34464
bibralake,Australia,Bibra Lake parkrun,-32.09263,115.83685
